company_name,fund_name,initial_date,m_strategy,pbs,setting,total_net_profit,modified_base,june_perf,week_perf,pday_perf,perf_2019,year_conv_perf,cum_perf
에스피,SP Pre-IPO 전문투자형 사모투자신탁 2호 A,2018-05-30,Pre-IPO,한투증권,32,31,984.14,-0.09,-0.03,-0.01,-0.71,-1.50,-1.59
에스피,SP 메자닌 전문투자형 사모투자신탁 3호 C-S,2018-11-28,Pre-IPO,삼성증권,31,32,"1,028.31",8.71,1.67,4.02,4.60,5.04,2.83
에스피,SP 코넥스 하이일드 전문투자형 사모투자신탁 1호,2019-01-18,Pre-IPO,삼성증권,31,33,"1,048.42",0.71,0.22,0.04,4.84,11.48,4.84
에스피,SP 하이일드 전문투자형 사모투자신탁 1호,2019-06-14,Pre-IPO,삼성증권,32,32,"1,000.55",0.05,0.05,0.01,0.05,2.87,0.05
에스피,SP 해외채권 전문투자형 사모투자신탁 1호,2019-02-26,Pre-IPO,삼성증권,285,289,10.15,0.59,0.28,0.05,1.46,4.64,1.46
WWG,SPAC友전문투자형사모투자신탁1호,2018-01-31,Pre-IPO,NH투자,32,34,"1,079.03",1.36,0.59,0.16,5.89,5.70,7.90
WWG,SPAC友전문투자형사모투자신탁2호,2018-08-20,Pre-IPO,NH투자,33,36,"1,086.24",3.40,2.04,0.38,7.90,10.32,8.62
에스피,SP-IN-KS Top Choice 전문투자형 사모투자신탁 1호 C,2018-07-19,Pre-IPO,한투증권,31,26,849.32,2.41,-1.55,-0.95,4.78,-16.32,-15.07
에스피,SP-IN-KS 전문투자형 사모투자신탁2호 A,2018-04-26,Pre-IPO,한투증권,41,32,792.24,2.46,-1.54,-0.94,5.10,-18.01,-20.78
VIP,VIP All-in-One 전문투자형 사모투자신탁 C-s클래스,2018-10-05,Pre-IPO,NH투자,500,524,"1,057.04",0.10,-0.67,-0.74,5.19,8.04,5.70
VIP,VIP 트리플A 전문투자형사모투자신탁 클래스C-s,2019-01-23,Pre-IPO,삼성증권,360,378,"1,052.94",1.84,0.26,0.01,5.29,12.97,5.29
그로쓰힐,그로쓰힐 Pre-IPO전문투자형 사모투자신탁 제1호 - 종류A,2017-10-25,Pre-IPO,KB증권,144,97,677.89,-6.47,-3.42,-1.77,-9.63,-19.47,-32.21
비전,비전 Pre-IPO 부케팔로스 전문투자형 사모투자신탁 제1호 종류 C1,2017-09-27,Pre-IPO,삼성증권,29,29,982.02,-0.06,-0.02,-0.01,-0.50,-1.04,-1.80
씨스퀘어,씨스퀘어 유니콘 Pre-IPO 전문투자형 사모투자신탁 2호,2017-11-28,Pre-IPO,NH투자,21,20,977.61,-0.08,-0.03,-0.01,-0.69,-1.43,-2.24
아스트라,아스트라 비너스 Pre IPO 전문투자형 사모투자신탁 1호,2018-02-21,Pre-IPO,미래에셋대우,45,46,"1,051.19",0.21,0.07,0.03,1.79,3.85,5.12
아스트라,아스트라 비너스 Pre IPO 전문투자형 사모투자신탁 2호,2018-03-23,Pre-IPO,미래에셋대우,18,18,"1,000.39",0.00,0.00,0.00,0.04,0.03,0.04
아스트라,아스트라 비너스 Pre IPO 전문투자형 사모투자신탁 3호,2018-04-20,Pre-IPO,미래에셋대우,68,69,"1,026.40",0.14,0.05,0.02,1.19,2.26,2.64
아스트라,아스트라 아너스 Pre IPO 전문투자형 사모투자신탁,2018-02-14,Pre-IPO,미래에셋대우,11,11,981.45,-0.08,-0.03,-0.01,-0.64,-1.38,-1.85
아우름,아우름 골드러시 Pre-IPO & Premium 전문투자형 사모투자신탁 제1호 A,2017-01-18,Pre-IPO,삼성증권,92,110,"1,242.84",2.32,1.58,0.96,15.67,10.03,24.28
아우름,아우름 골드러시 Pre-IPO 교육컨텐츠 전문사모투자신탁 제1호,2017-12-28,Pre-IPO,NH투자,15,14,970.66,-0.12,-0.04,-0.02,-0.95,-1.98,-2.93
아우름,아우름 골드러시 Pre-IPO 전문사모투자신탁 제1호 S,2016-08-22,Pre-IPO,NH투자,109,118,"1,263.24",1.89,1.20,0.79,8.89,9.30,26.32
아우름,아우름 골드러시 Pre-IPO 컨텐츠 전문사모투자신탁 제1호,2018-01-10,Pre-IPO,NH투자,39,38,964.48,-0.14,-0.05,-0.02,-1.18,-2.46,-3.55
아우름,아우름 골드러시 Pre-IPO&Mezzanine 전문사모투자신탁 제1호 W,2016-12-12,Pre-IPO,NH투자,31,37,"1,175.11",2.37,0.64,0.68,9.32,6.94,17.51
아우름,아우름 골드러시 Pre-IPO&Mezzanine 전문사모투자신탁 제2호 A,2017-07-27,Pre-IPO,NH투자,109,115,"1,046.78",2.10,0.77,0.21,7.78,2.46,4.68
아이앤제이,아이앤제이 벤처기업 전문투자형 사모투자신탁 1호,2016-09-12,Pre-IPO,한투증권,111,110,992.76,0.00,0.00,0.00,-0.03,-0.26,-0.72
오라이언,오라이언 Pre-IPO 스팩 전문투자형 사모투자신탁 제8호,2018-02-01,Pre-IPO,KB증권,68,70,"1,027.92",0.17,0.09,0.02,1.05,2.02,2.79
파인밸류,파인밸류PreIPO플러스전문투자형사모증권투자신탁 종류S,2016-07-29,Pre IPO,NH투자,243,226,"1,595.01",-0.68,-0.40,-0.19,-0.11,20.55,59.50
LK,LK CLS 전문투자형 사모투자신탁 제1호 클래스 C,2017-06-01,PDF,한투증권,2,2,"1,162.56",0.33,0.10,0.05,1.19,7.91,16.26
푸른파트너스,푸른시그니처전문투자형사모투자신탁(C-S),2017-02-03,PDF,NH투자,829,850,"1,158.06",0.31,0.11,0.05,2.75,6.65,15.81
인벡스,인벡스 W 전문투자형 사모투자신탁 제1호(종류C-s),2016-08-08,option trading,한투증권,25,17,724.27,2.78,0.30,0.32,-3.05,-9.61,-27.57
안다자산,안다 보이저 전문사모투자신탁 제 1호 C-S클래스,2015-08-18,"Multi-Strategy
PEAD",미래에셋대우,240,250,"1,220.30",0.39,0.79,0.35,6.38,5.73,22.03
안다자산,안다 크루즈 전문사모투자신탁 제 1호 C-S클래스,2014-05-15,"Multi-Strategy
PEAD",NH투자,"1,910","1,916","1,569.75",-0.40,0.11,-0.11,0.36,11.16,56.97
제이앤제이,제이앤제이파트너베타전문투자형사모투자신탁제1호 S,2016-05-16,"Multi-Strategy
Fundamental L/S",NH투자,65,55,"1,100.53",2.78,0.90,-0.57,7.18,3.24,10.05
제이앤제이,제이앤제이파트너알파전문투자형사모투자신탁제1호 S,2016-05-12,"Multi-Strategy
Fundamental L/S",삼성증권,97,83,"1,075.46",2.41,0.74,-0.53,6.49,2.43,7.55
AIP,AIP Growth전문투자형사모투자신탁2호,2018-04-24,Multi-Strategy,NH투자,32,31,964.97,-0.09,-0.03,-0.01,-2.40,-3.02,-3.50
아람,ARAM VIX 334AA 전문투자형 사모증권투자신탁 제Ⅰ-1호,2017-03-21,Multi-Strategy,미래에셋대우,3,3,"1,192.15",-2.17,-1.71,0.15,3.78,8.53,19.22
BNK,BNK 시그니처전문투자형사모투자신탁1호 A 클래스,2017-09-27,Multi-Strategy,NH투자,21,8,400.06,0.03,0.01,0.01,-15.51,-34.65,-59.99
씨케이골디락스,CK골디락스 ALGO PLUS 전문투자형 사모투자신탁 제1호 종류C-f,2016-07-22,Multi-Strategy,미래에셋대우,151,153,"1,229.61",0.27,-0.03,0.01,1.33,7.88,22.96
씨케이골디락스,CK골디락스 ALGO PLUS 전문투자형 사모투자신탁 제3호 종류C-s,2017-07-05,Multi-Strategy,미래에셋대우,258,259,"1,009.64",0.29,-0.04,0.03,0.62,0.49,0.96
DB,DBGreen멀티스트레티지전문투자형사모투자신탁 제1호 종류 C-S,2017-11-20,Multi-Strategy,NH투자,190,168,884.26,-0.49,-0.06,-0.32,-1.18,-7.31,-11.57
WWG,W M1 전문투자형사모투자신탁,2017-09-14,Multi-Strategy,NH투자,29,30,"1,067.40",3.06,3.84,-0.92,7.15,3.81,6.74
WWG,W M2 전문투자형사모투자신탁,2018-06-07,Multi-Strategy,NH투자,42,42,988.91,-0.57,-0.01,-0.01,-0.80,-1.07,-1.11
WWG,W M3 전문투자형사모투자신탁,2018-08-23,Multi-Strategy,NH투자,147,144,981.35,0.11,0.06,0.04,0.94,-2.25,-1.87
WWG,W M4 전문투자형사모투자신탁,2018-09-05,Multi-Strategy,NH투자,105,102,976.60,-8.02,-3.48,-2.69,7.16,-2.96,-2.34
WWG,W Pharos전문투자형사모투자신탁1호,2009-07-10,Multi-Strategy,NH투자,91,93,"3,875.04",-0.20,-1.13,-0.96,19.32,28.88,287.50
WWG,W SAFE 전문투자형사모투자신탁1호,2019-02-28,Multi-Strategy,NH투자,37,38,"1,021.16",1.51,0.40,0.10,2.12,6.83,2.12
WWG,W1000전문투자형사모투자신탁 Class C-S,2019-04-17,Multi-Strategy,KB증권,140,141,"1,007.73",2.44,0.44,0.15,0.77,4.34,0.77
WWG,W100전문투자형사모투자신탁,2018-01-22,Multi-Strategy,NH투자,58,60,"1,062.34",0.29,0.07,0.01,2.24,4.42,6.23
WWG,W101전문투자형사모투자신탁,2019-03-22,Multi-Strategy,KB증권,138,140,"1,010.44",0.25,-0.01,-0.05,1.04,4.19,1.04
WWG,W201전문투자형사모투자신탁,2018-08-02,Multi-Strategy,NH투자,70,71,"1,020.76",0.74,0.16,0.05,2.47,2.35,2.08
WWG,W202전문투자형사모투자신탁,2019-02-26,Multi-Strategy,KB증권,32,32,"1,021.19",0.36,0.10,0.02,2.12,6.73,2.12
WWG,W301전문투자형사모투자신탁 Class A,2016-09-09,Multi-Strategy,NH투자,51,48,"1,000.79",-0.15,-0.21,-0.24,-1.36,0.03,0.08
WWG,W302전문투자형사모투자신탁,2016-09-30,Multi-Strategy,NH투자,121,118,"1,030.01",-0.13,-0.11,-0.21,-1.49,1.10,3.00
WWG,W500전문투자형사모투자신탁,2016-12-16,Multi-Strategy,NH투자,236,226,"1,028.55",2.92,1.23,-0.06,3.86,1.14,2.86
WWG,W900전문투자형사모투자신탁 Class C,2017-07-20,Multi-Strategy,미래에셋대우,75,64,971.55,-0.28,-0.21,-0.29,0.24,-1.48,-2.84
WWG,W901전문투자형사모투자신탁 Class C-S,2018-02-13,Multi-Strategy,미래에셋대우,17,14,828.52,-1.64,-0.57,-0.21,-2.67,-12.70,-17.15
WWG,W스퀘어전문투자형사모투자신탁1호,2017-07-07,Multi-Strategy,NH투자,176,148,968.30,1.13,0.63,0.13,-3.65,-1.62,-3.17
WWG,W시그니처전문투자형사모투자신탁1호 Class C,2017-06-30,Multi-Strategy,삼성증권,40,32,915.52,-0.93,-0.76,-0.02,-3.66,-4.28,-8.45
그로쓰힐,그로쓰힐 다윈 멀티스트레티지 전문투자형 사모투자신탁 제1호 - 종류S,2016-01-12,Multi-Strategy,삼성증권,93,93,"1,063.90",-0.60,-0.35,-0.14,-0.17,1.86,6.39
그로쓰힐,그로쓰힐 다윈 멀티스트레티지 전문투자형 사모투자신탁 제2호 - 종류A,2016-02-05,Multi-Strategy,삼성증권,6,6,973.98,-0.69,-0.37,-0.15,-1.08,-0.77,-2.60
그로쓰힐,그로쓰힐 아세안 전문투자형 사모투자신탁 제1호 - 종류A,2017-06-16,Multi-Strategy,삼성증권,15,14,935.11,2.33,0.87,0.79,3.12,-3.22,-6.49
그로쓰힐,그로쓰힐 패밀리오피스 전문투자형 사모투자신탁 제1호 - 종류S,2016-09-08,Multi-Strategy,삼성증권,5,4,"1,012.37",1.75,0.07,0.76,-0.82,0.44,1.24
대덕,대덕지혜로운멀티전문투자형사모투자신탁클래스C-S,2016-12-27,Multi-Strategy,미래에셋대우,22,19,961.77,3.19,1.42,-0.27,25.98,-1.54,-3.82
리코,리코멀티플러스전문투자형사모투자신탁제3호(제1종),2017-11-28,Multi-Strategy,NH투자,40,42,"1,078.93",0.12,-0.13,-0.05,3.24,5.05,7.89
리코,리코멀티플러스전문투자형사모투자신탁제4호(제1종),2017-11-20,Multi-Strategy,NH투자,40,41,"1,066.11",0.08,-0.14,-0.05,2.59,4.17,6.61
리코,리코멀티플러스전문투자형사모투자신탁제5호(제1종),2018-02-21,Multi-Strategy,미래에셋대우,38,39,"1,043.00",0.36,0.09,-0.04,3.63,3.24,4.30
리코,리코멀티플러스전문투자형사모투자신탁제6호,2018-02-27,Multi-Strategy,미래에셋대우,34,35,"1,039.19",0.32,0.07,-0.05,3.60,2.99,3.92
마이다스,마이다스 글로벌매크로 전문투자형 사모투자신탁 제1호 Class Cs,2018-01-12,Multi-Strategy,한투증권,108,103,"1,017.92",-4.32,-2.10,-0.18,-4.22,1.25,1.79
마이다스,마이다스 적토마 멀티스트래티지 전문투자형 사모 투자신탁 제1호Cs,2014-10-10,Multi-Strategy,한투증권,359,380,"1,589.97",1.55,1.09,1.06,7.18,12.56,59.00
마이퍼스트에셋,마이퍼스트에셋 First Dream 전문투자형사모투자신탁 제1호_종류A,2018-02-13,Multi-Strategy,삼성증권,112,90,801.02,0.04,0.20,0.22,-8.86,-14.73,-19.90
마이퍼스트에셋,마이퍼스트에셋 First Dream 전문투자형사모투자신탁 제2호_종류C-1,2018-02-27,Multi-Strategy,NH투자,35,27,752.53,-0.43,0.03,0.19,-10.64,-18.86,-24.75
마이퍼스트에셋,마이퍼스트에셋 First Gift 전문투자형사모투자신탁 제1호_종류C-s,2017-09-06,Multi-Strategy,삼성증권,234,189,885.45,-0.05,0.26,0.21,-9.21,-6.40,-11.46
마이퍼스트에셋,마이퍼스트에셋 First Gift 전문투자형사모투자신탁 제2호_종류C-1,2017-10-20,Multi-Strategy,NH투자,65,52,824.25,-0.50,-0.22,0.07,-9.27,-10.53,-17.58
마이퍼스트에셋,마이퍼스트에셋 First Gift 전문투자형사모투자신탁 제3호_종류A,2017-11-23,Multi-Strategy,미래에셋대우,98,78,807.08,-0.10,0.11,0.14,-7.94,-12.25,-19.29
마이퍼스트에셋,마이퍼스트에셋 First Gift 전문투자형사모투자신탁 제4호_종류C,2018-01-25,Multi-Strategy,한투증권,85,64,740.65,0.02,-0.15,0.17,-6.96,-18.49,-25.94
마이퍼스트에셋,마이퍼스트에셋 First Magic 전문투자형사모투자신탁 제1호_종류C,2017-02-27,Multi-Strategy,삼성증권,127,100,"1,020.25",0.08,-0.37,0.01,-10.02,0.88,2.03
마이퍼스트에셋,마이퍼스트에셋 First Magic 전문투자형사모투자신탁 제2호_종류C-s,2017-06-16,Multi-Strategy,NH투자,128,102,886.78,0.22,-0.04,0.09,-9.36,-5.62,-11.32
마이퍼스트에셋,마이퍼스트에셋 First Magic 전문투자형사모투자신탁 제3호_종류A,2017-07-10,Multi-Strategy,한투증권,87,70,864.92,0.07,-0.25,0.03,-10.09,-6.93,-13.51
마이퍼스트에셋,마이퍼스트에셋 First Magic 전문투자형사모투자신탁 제4호_종류C,2017-07-17,Multi-Strategy,한투증권,57,44,814.40,-0.22,-0.40,0.01,-11.15,-9.62,-18.56
마이퍼스트에셋,마이퍼스트에셋 First Opus S 전문투자형사모투자신탁 제1호_종류A,2019-04-30,Multi-Strategy,삼성증권,85,85,999.40,-0.04,-0.01,-0.01,-0.06,-0.42,-0.06
마이퍼스트에셋,마이퍼스트에셋 First Opus 전문투자형사모투자신탁 제1호_종류C-s,2018-01-16,Multi-Strategy,삼성증권,134,143,"1,074.58",0.04,-0.20,-0.17,3.93,5.23,7.46
마이퍼스트에셋,마이퍼스트에셋 First Opus 전문투자형사모투자신탁 제2호_종류A,2018-07-23,Multi-Strategy,한투증권,77,77,990.08,-0.06,-0.10,-0.32,1.41,-1.09,-0.99
마이퍼스트에셋,마이퍼스트에셋 First Wish 전문투자형사모투자신탁 제1호_종류C,2018-01-25,Multi-Strategy,한투증권,80,60,747.45,-0.21,-0.06,0.17,-9.96,-18.00,-25.25
마이퍼스트에셋,마이퍼스트에셋 First Wish 전문투자형사모투자신탁 제2호_종류A,2018-02-05,Multi-Strategy,NH투자,73,58,778.62,-0.10,0.23,0.22,-9.44,-16.13,-22.14
마이퍼스트에셋,마이퍼스트에셋 First Wish 전문투자형사모투자신탁 제3호_종류A,2018-02-28,Multi-Strategy,삼성증권,62,50,799.60,0.05,0.28,0.28,-9.95,-15.30,-20.04
미래에셋,미래에셋스마트Q멀티매니저전문투자형사모투자신탁1호종류C-F,2016-10-11,Multi-strategy,한투증권,202,185,994.20,-0.77,-0.29,-0.08,-2.18,-0.22,-0.58
비전,비전 인컴 플러스 알파 전문투자형 사모투자신탁 제1호 종류 C-s,2018-01-12,Multi-Strategy,신한금융투자,51,50,984.10,0.03,0.06,-0.01,-3.46,-1.11,-1.59
비전,비전 헤지드리턴 부케팔로스 전문투자형 사모투자신탁 제1호 종류 C-S,2017-02-24,Multi-Strategy,미래에셋대우,86,88,"1,073.14",0.10,0.10,-0.13,4.01,3.15,7.31
수성,수성멀티에셋 전문투자형사모투자신탁 3호 종류A,2017-05-22,Multi-Strategy,KB증권,24,23,975.41,2.49,0.36,-0.02,5.79,-1.18,-2.46
수성,수성한국투자멀티에셋 전문투자형사모투자신탁 종류A,2017-06-01,Multi-Strategy,한투증권,64,64,"1,148.50",-0.46,-0.72,-0.05,2.39,7.23,14.85
씨스퀘어,씨스퀘어 드래곤 멀티전략 전문사모투자신탁 1호 CS,2016-06-09,Multi-Strategy,삼성증권,359,372,"1,477.81",1.48,-0.66,-0.15,3.59,15.75,47.78
아너스,아너스 아테나멀티전략 전문투자형사모투자신탁 제1호 종류C-S,2017-02-20,Multi-Strategy,한투증권,25,22,959.82,1.12,0.06,0.02,3.63,-1.72,-4.02
아너스,아너스골든트리혼합전문투자형사모투자신탁제1호종류C1,2017-04-10,Multi-Strategy,미래에셋대우,3,2,945.71,-0.10,-0.03,-0.01,-0.79,-2.47,-5.43
아너스,아너스콘텐츠리더스전문투자형 사모투자신탁 제1호 종류A,2017-06-15,Multi-Strategy,NH투자,99,96,966.30,-0.09,-0.03,-0.01,-0.77,-1.67,-3.37
아름드리,아름드리Gauss전문투자형사모투자신탁제14호C,2017-11-02,Multi-Strategy,한투증권,63,63,993.66,5.91,2.66,0.01,16.98,-0.39,-0.63
아름드리,아름드리Gauss전문투자형사모투자신탁제26호C,2018-01-12,Multi-Strategy,한투증권,101,77,769.02,3.66,4.10,-5.28,0.11,-16.06,-23.10
아름드리,아름드리Gauss전문투자형사모투자신탁제31호C,2018-02-09,Multi-Strategy,한투증권,62,59,961.90,1.14,-0.65,0.57,5.15,-2.80,-3.81
아름드리,아름드리Gauss전문투자형사모투자신탁제45호C,2018-04-27,Multi-Strategy,한투증권,71,67,940.34,3.61,2.16,-0.37,3.15,-5.18,-5.97
아름드리,아름드리Gauss전문투자형사모투자신탁제50호C,2018-05-18,Multi-Strategy,한투증권,72,75,"1,029.01",3.68,1.44,0.01,12.98,2.65,2.90
아름드리,아름드리Gauss전문투자형사모투자신탁제51호C,2018-05-21,Multi-Strategy,한투증권,74,77,"1,038.12",4.45,1.56,0.03,14.60,3.51,3.81
아름드리,아름드리Gauss전문투자형사모투자신탁제53호C,2018-05-21,Multi-Strategy,한투증권,77,80,"1,034.87",3.85,1.65,0.05,14.74,3.21,3.49
아름드리,아름드리Gauss전문투자형사모투자신탁제54호C,2018-05-25,Multi-Strategy,한투증권,79,78,991.33,2.81,1.60,-0.24,4.65,-0.81,-0.87
아름드리,아름드리Gauss전문투자형사모투자신탁제57호C,2018-06-01,Multi-Strategy,한투증권,74,68,913.73,2.48,1.55,0.52,3.42,-8.18,-8.63
아름드리,아름드리Gauss전문투자형사모투자신탁제59호C,2018-06-08,Multi-Strategy,한투증권,113,118,"1,051.68",3.21,1.34,0.02,14.57,4.99,5.17
아름드리,아름드리Gauss전문투자형사모투자신탁제64호C,2018-06-26,Multi-Strategy,한투증권,69,69,998.27,2.79,1.59,-0.27,2.63,-0.18,-0.17
아름드리,아름드리Gauss전문투자형사모투자신탁제65호C,2018-06-29,Multi-Strategy,한투증권,50,49,986.78,1.23,1.83,0.81,-1.71,-1.35,-1.32
아름드리,아름드리Gauss전문투자형사모투자신탁제70호C,2018-07-27,Multi-Strategy,한투증권,69,68,986.95,0.92,-0.40,0.38,3.77,-1.45,-1.31
아름드리,아름드리Gauss전문투자형사모투자신탁제77호C,2018-08-16,Multi-Strategy,한투증권,60,59,998.75,0.79,-0.29,0.28,3.50,-0.15,-0.13
아샘,아샘 멀티전략 전문투자형 사모투자신탁 2호 C-S,2017-07-19,Multi-Strategy,한투증권,47,48,"1,045.50",-0.18,-0.65,-0.06,-0.32,2.37,4.55
아샘,아샘멀티전략전문투자형사모투자신탁1호A,2016-07-20,Multi-Strategy,한투증권,197,199,"1,244.33",-0.28,-1.05,-0.14,-2.39,8.37,24.43
아크임팩트,아크임팩트 멀티스트래티지 전문투자형 사모투자신탁 제1호 종류S,2017-07-03,Multi-Strategy,KB증권,122,106,869.56,-0.09,-0.28,-0.62,1.21,-6.63,-13.04
아크임팩트,아크임팩트 멀티스트래티지 전문투자형 사모투자신탁 제2호 종류S,2018-09-05,Multi-Strategy,KB증권,313,301,961.15,4.07,1.24,-0.20,13.02,-4.91,-3.89
안다자산,안다아시아올스타전문투자형사모투자신탁제1호 A클래스,2018-08-22,Multi-Strategy,KB증권,88,96,"1,087.00",1.55,0.00,-0.03,11.04,10.48,8.70
제이앤제이,제이앤제이포커스멀티전문투자형사모투자신탁제1호 A,2017-11-14,Multi-Strategy,한투증권,43,36,845.34,3.12,1.04,-0.42,13.06,-9.67,-15.47
지브이에이,지브이에이 Fortress-A 전문투자형사모투자신탁 Class A,2017-05-17,Multi-Strategy,미래에셋대우,997,"1,094","1,155.69",2.79,0.66,0.02,10.66,7.43,15.57
지브이에이,지브이에이 Fortress-V 전문투자형사모투자신탁 Class C-S,2017-05-17,Multi-Strategy,삼성증권,347,376,"1,153.77",2.89,0.78,0.05,10.24,7.34,15.38
지브이에이,지브이에이 Saber-E 전문투자형사모투자신탁 Class A,2017-05-29,Multi-Strategy,삼성증권,134,145,"1,179.30",2.81,0.84,0.29,10.16,8.69,17.93
